id;id_kab;kabupaten;id_kec;kecamatan;id_desa;desa;tahun;strata_desa_22;total_pend;total_lk;total_pr;pendatang;pend_pergi;total_kk;total_kkp;total_kkmis;total_by;total_balita;total_rmj;total_dw1;total_dw2;total_lansia;petani_lk;petani_pr;nelayan_lk;nelayan_pr;buruh_tani_lk;buruh_tani_pr;buruh_pabrik_lk;buruh_pabrik_pr;pns_lk;pns_pr;swasta_lk;swasta_pr;wiraswasta_lk;wiraswasta_pr;tni_lk;tni_pr;polri_lk;polri_pr;dokter_lk;dokter_pr;bidan;perawat_lk;perawat_pr;pekerja_lain_lk;pekerja_lain_pr;pekerja_lain;pbk_lk;pbk_pr
24471;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012001;CIPASUNG;2023;MANDIRI;2181;1084;1097;8;12;796;45;510;56;219;372;780;636;118;480;145;0;0;560;150;4;5;5;8;20;15;210;50;0;0;0;0;0;0;1;1;1;15;10;15;10;25
24472;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012002;BANGBAYANG;2023;MANDIRI;2322;1135;1187;10;86;794;225;414;65;154;424;904;636;139;368;112;0;0;127;117;43;32;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24473;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012003;BOROGOJOL;2023;MANDIRI;3540;1830;1710;177;106;1106;161;821;42;323;592;1279;889;415;402;154;0;0;162;136;7;8;5;5;30;26;640;47;0;0;0;0;0;0;1;1;1;24;8;24;8;32
24474;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012004;CIBULAN;2023;MANDIRI;1513;777;736;20;8;492;38;245;25;120;304;303;655;131;93;7;0;0;8;0;5;5;6;7;12;5;199;30;1;0;0;0;0;0;3;1;3;600;437;600;437;1037
24475;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012005;LEMAHPUTIH;2023;MANDIRI;4158;2006;2152;34;73;1301;173;577;71;167;629;1548;632;1111;420;101;0;0;30;25;15;8;35;30;75;40;120;99;2;0;2;0;0;0;1;3;0;60;58;60;58;118
24476;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012006;SADAWANGI;2023;MANDIRI;4324;2222;2102;7;9;1344;137;780;84;187;714;1807;1113;408;342;89;0;0;491;234;67;34;8;6;33;41;1318;1153;0;0;3;0;0;0;8;1;1;92;79;92;79;171
24477;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012007;KEPUH;2023;MAJU;3847;2020;1827;30;6;1101;156;593;47;370;874;952;951;627;804;250;0;0;636;356;25;15;47;17;45;25;57;26;0;0;3;0;0;0;3;3;1;32;20;32;20;52
24478;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012008;PADAREK;2023;MANDIRI;5525;2832;2693;22;30;2026;333;672;95;382;1221;1676;1423;728;985;60;0;0;579;612;0;0;39;28;0;0;1304;55;0;0;0;0;0;0;0;0;0;1742;1160;1742;1160;2902
24479;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012009;KALAPADUA;2023;MANDIRI;3933;2001;1932;3;2;1124;252;570;75;120;224;2437;654;35;876;67;0;0;355;134;79;102;31;15;12;8;309;14;2;0;1;0;0;2;9;2;2;3;3;3;3;6
24480;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012010;CIGALEUH;2023;MANDIRI;3943;2036;1907;0;0;1200;150;605;80;250;393;1501;1001;618;502;301;0;0;650;450;100;78;40;23;10;0;400;391;5;0;2;0;1;1;2;1;0;0;0;0;0;0
24481;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012011;MARGAJAYA;2023;MANDIRI;4968;2540;2428;5;61;1481;220;587;54;347;783;1434;2024;326;903;167;0;0;403;320;197;51;31;4;14;1;986;0;0;0;1;0;0;0;3;0;3;305;260;305;260;565
24482;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012012;SUKAJADI;2023;MANDIRI;3226;1679;1547;48;25;1093;235;546;99;145;643;1429;85;57;1068;0;0;0;120;30;50;0;6;4;20;20;150;35;0;0;0;0;0;0;1;0;1;45;32;45;32;77
24483;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012013;MEKARWANGI;2023;MANDIRI;4403;2251;2152;8;4;1277;132;624;42;303;965;1621;1068;381;502;45;0;0;241;97;92;106;14;2;46;32;684;172;0;0;0;0;0;0;2;2;2;0;0;0;0;0
24484;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012014;SINARGALIH;2023;MANDIRI;5869;3062;2807;23;37;1663;211;717;116;358;1235;2456;1472;232;62;21;0;0;1015;297;852;210;10;8;46;53;603;56;2;0;1;0;0;0;2;0;1;807;128;807;128;935
24485;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012015;MEKARMULYA;2023;MANDIRI;3429;1766;1663;40;57;1094;123;536;58;338;573;2074;271;115;610;42;0;0;421;252;34;46;25;13;9;4;452;23;3;0;1;0;0;1;7;2;2;466;112;466;112;578
24486;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012016;SUKAMAJU;2023;MANDIRI;2270;1130;1140;29;46;763;78;397;76;100;385;712;698;299;440;20;0;0;34;220;0;0;4;1;0;0;325;9;0;0;0;0;0;0;2;1;0;508;60;508;60;568
24487;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012017;CISALAK;2023;MANDIRI;1799;916;883;1;17;605;93;358;11;97;257;661;542;194;138;196;0;0;138;196;5;3;10;8;21;9;149;42;0;0;0;0;0;0;3;1;2;408;480;408;480;888
24488;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012018;DAYEUHWANGI;2023;MAJU;2812;1411;1401;21;18;872;21;482;225;262;325;547;876;45;300;148;0;0;520;221;15;12;5;4;50;30;112;64;0;0;0;0;0;0;1;0;1;20;7;20;7;27
24489;3210;KAB. MAJALENGKA;321001;LEMAHSUGIH;3210012019;LEMAHSUGIH;2023;MANDIRI;2859;1425;1434;8;2;884;121;364;8;75;489;1163;889;235;16;0;0;0;31;3;0;0;5;1;7;5;117;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0
24490;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022002;CIPEUNDEUY;2023;MAJU;3829;1965;1864;3;2;1139;210;431;55;153;580;1393;940;708;180;42;0;0;94;27;0;0;55;66;30;7;661;51;0;0;1;0;0;0;1;2;0;1130;1482;1130;1482;2612
24491;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022008;CIMANGGUHILIR;2023;MAJU;5084;2633;2451;6;9;1629;237;944;85;214;692;2417;1155;521;406;77;0;0;130;10;35;10;4;2;7;4;611;10;1;0;0;0;0;0;1;0;1;1385;905;1385;905;2290
24492;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022009;SALAWANGI;2023;MAJU;3895;1928;1967;25;22;1316;229;650;84;206;666;1270;1297;372;219;113;0;0;342;91;15;13;12;13;24;12;370;152;1;0;1;0;0;0;3;0;0;24;17;24;17;41
24493;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022010;BANTARUJEG;2023;MANDIRI;3781;1910;1871;4;23;1297;275;279;46;169;592;1430;1031;548;455;170;0;0;241;196;17;0;27;19;24;14;320;147;3;0;4;1;2;2;6;4;3;4;1;4;1;5
24494;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022011;GUNUNGLARANG;2023;MAJU;4733;2215;2518;14;17;1615;30;1121;72;253;725;1700;1548;435;1600;1380;0;0;157;60;20;15;24;4;10;5;100;300;1;0;1;0;0;0;0;1;1;0;0;0;0;0
24495;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022012;CIKIDANG;2023;MAJU;3065;1316;1749;5;3;1171;50;396;18;73;182;394;78;79;890;695;0;0;360;300;23;16;27;23;3;3;367;382;2;0;6;0;1;0;1;4;6;0;0;0;0;0
24496;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022013;CINAMBO;2023;BERKEMBANG;2028;962;1066;16;10;748;167;452;20;110;262;710;644;278;194;214;0;0;15;8;10;9;10;12;30;12;309;43;0;0;0;0;0;0;0;3;1;301;774;301;774;1075
24497;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022014;HAURGEULIS;2023;MAJU;1406;709;697;8;9;485;76;165;15;68;204;487;463;181;280;40;0;0;0;0;0;0;16;7;6;12;81;6;0;0;0;0;1;0;1;0;0;13;13;13;13;26
24498;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022015;SUKAMENAK;2023;BERKEMBANG;3562;1794;1768;25;38;1251;150;195;93;204;282;1141;908;459;707;50;0;0;347;0;21;0;65;19;87;0;36;25;0;0;1;0;0;0;7;3;2;0;1;0;1;1
24499;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022016;WADOWETAN;2023;MAJU;3602;1831;1771;0;6;1177;245;0;50;195;487;1402;1158;310;251;121;0;0;20;17;2;0;14;6;29;20;353;239;3;0;0;0;0;0;0;0;0;1182;1440;1182;1440;2622
24500;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022017;BABAKANSARI;2023;MAJU;5164;2531;2633;14;3;1641;30;761;19;207;969;3869;83;0;2597;52;0;0;834;17;0;12;89;138;400;105;200;135;3;0;3;0;0;0;6;5;3;0;0;0;0;0
24501;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022018;SILIHWANGI;2023;MAJU;4953;2493;2460;19;17;1614;120;782;28;208;766;1871;1595;481;547;10;0;0;100;33;30;20;15;10;25;20;530;230;2;0;1;0;0;0;2;0;0;162;0;162;0;162
24502;3210;KAB. MAJALENGKA;321002;BANTARUJEG;3210022022;SINDANGHURIP;2023;MAJU;3028;1571;1457;17;15;972;108;0;73;105;900;1300;600;300;325;120;0;0;105;85;15;8;21;8;4;2;210;90;0;0;1;0;0;0;1;1;3;204;189;204;189;393
24503;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032001;SUKASARI;2023;MAJU;5654;2891;2763;65;46;1685;118;934;52;347;882;2246;1542;559;454;78;0;0;90;75;30;45;55;37;15;8;170;106;0;0;3;0;0;0;1;1;1;186;139;186;139;325
24504;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032002;CISOKA;2023;MAJU;2343;1186;1157;6;3;863;170;440;58;134;829;759;660;469;267;26;0;0;35;18;10;15;34;18;39;12;144;5;0;0;0;0;1;0;0;5;3;103;86;103;86;189
24505;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032003;SINDANGPANJI;2023;MAJU;5343;2685;2658;13;6;1742;232;891;91;225;802;1964;1769;492;136;78;0;0;89;24;29;5;25;21;27;19;1064;184;0;0;0;0;1;1;2;6;2;1307;2326;1307;2326;3633
24506;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032004;CIKIJING;2023;MANDIRI;8815;4518;4297;25;57;2636;495;625;0;170;1485;3635;2874;822;785;67;0;0;181;42;0;0;47;50;1837;453;1615;515;2;0;4;0;1;1;6;5;6;693;265;693;265;958
24507;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032005;SINDANG;2023;MAJU;6326;3199;3127;27;32;2153;266;320;89;303;1158;2639;1704;372;1993;1259;0;0;1570;5;13;22;62;17;10;5;854;440;2;0;0;0;0;0;2;0;5;113;78;113;78;191
24508;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032006;BANJARANSARI;2023;MANDIRI;6726;3447;3279;257;325;2034;125;918;136;428;1232;2678;1596;656;1263;1026;0;0;173;55;72;79;44;26;82;77;273;155;0;0;2;0;3;1;2;1;4;0;0;0;0;0
24509;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032007;KASTURI;2023;MANDIRI;5247;2638;2609;33;83;1610;230;456;65;303;909;1996;1630;353;106;3;0;0;136;1;0;0;42;43;438;112;1531;17;3;0;0;0;0;1;3;3;2;264;16;264;16;280
24510;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032008;CIDULANG;2023;MAJU;7427;3785;3642;204;180;2203;128;485;121;416;1605;2188;2254;1185;523;152;0;0;500;300;150;25;65;30;105;60;650;350;0;0;1;1;2;0;2;1;17;150;125;150;125;275
24511;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032009;JAGASARI;2023;MAJU;5186;2589;2597;46;78;1600;248;328;165;647;1188;1669;1272;339;167;31;0;0;75;9;0;0;16;5;89;13;1143;33;2;0;0;0;0;0;2;0;3;54;12;54;12;66
24512;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032010;BAGJASARI;2023;MAJU;3588;1811;1777;38;31;1117;154;769;34;180;674;1352;1073;338;140;15;0;0;142;109;25;16;10;17;13;15;411;361;0;0;0;0;0;0;2;0;1;86;17;86;17;103
24513;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032011;SUNALARI;2023;MAJU;1502;760;742;6;2;517;58;194;27;117;290;638;354;76;107;40;0;0;268;146;61;0;3;2;6;0;278;153;0;0;0;0;0;0;0;3;1;125;35;125;35;160
24514;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032012;CIPULUS;2023;MAJU;2598;1225;1373;5;3;963;102;198;98;152;505;1100;622;131;850;500;0;0;400;300;0;0;7;0;13;0;85;0;0;0;0;0;0;0;0;0;0;50;14;50;14;64
24515;3210;KAB. MAJALENGKA;321003;CIKIJING;3210032013;KANCANA;2023;MAJU;2675;1310;1365;1;3;901;146;430;45;76;388;978;992;238;200;46;0;0;160;25;0;0;20;6;0;0;250;56;0;0;0;0;0;0;1;0;0;50;14;50;14;64
